date,code,side,qty,price,pnl,reason,strategy,entry_date,fee
2019-06-03,US.MSFT,SELL,27,15753.15311682,-31777.83,STOP_LOSS,atr_breakout,2019-04-25,882.02
2019-06-03,US.XEL,SELL,54,6516.7593722,680.43,STRAT_EXIT,atr_breakout,2019-05-13,702.78
2019-06-03,US.OKTA,SELL,6,15058.259999999998,-4845.59,STOP_LOSS,atr_breakout,2019-05-31,185.45
2019-06-04,US.LIN,BUY,22,23843.75631456,,SIGNAL,atr_breakout,,
2019-06-04,US.WF,BUY,35,4135.25804958,,SIGNAL,atr_breakout,,
2019-06-04,US.DXCM,BUY,32,4366.25,,SIGNAL,atr_breakout,,
2019-06-04,US.QQQ,BUY,74,23332.986013960002,,QQQ_BETA_FLOOR,core_etf,,
2019-06-05,US.WF,SELL,35,3928.495147101,-7374.2,STOP_LOSS,atr_breakout,2019-06-04,282.23
2019-06-05,US.CTAS,BUY,61,7515.1473489400005,,SIGNAL,atr_breakout,,
2019-06-05,US.TTWO,BUY,26,15617.0,,SIGNAL,atr_breakout,,
2019-06-05,US.TTD,BUY,86,3252.2000000000003,,SIGNAL,atr_breakout,,
2019-06-06,US.DXCM,SELL,32,4147.9375,-7118.73,STOP_LOSS,atr_breakout,2019-06-04,272.45
2019-06-06,US.AMD,BUY,81,4454.8,,SIGNAL,atr_breakout,,
2019-06-14,US.AMD,SELL,81,4232.06,-18384.74,STOP_LOSS,atr_breakout,2019-06-06,703.64
2019-06-14,US.MDLZ,BUY,12,6440.993538,,SIGNAL,atr_breakout,,
2019-07-12,US.AEP,SELL,56,9726.807001660001,24224.25,STRAT_EXIT,atr_breakout,2019-05-13,1064.63
2019-07-12,US.PEP,SELL,22,15032.38060156,11753.82,STRAT_EXIT,atr_breakout,2019-05-15,649.34
2019-07-12,US.ORLY,BUY,117,3750.413352,,SIGNAL,atr_breakout,,
2019-07-12,US.COST,BUY,11,35510.86926772,,SIGNAL,atr_breakout,,
2019-07-16,US.TEAM,SELL,6,19202.399999999998,16676.39,STRAT_EXIT,atr_breakout,2019-05-08,213.64
2019-07-16,US.CMCSA,BUY,17,4826.267196240001,,SIGNAL,atr_breakout,,
2019-07-19,US.CMCSA,SELL,17,4716.01979744,-1954.38,STRAT_EXIT,atr_breakout,2019-07-16,162.22
2019-07-19,US.TSM,BUY,70,5208.462284200001,,SIGNAL,atr_breakout,,
2019-07-25,US.ORLY,SELL,117,3509.33335088,-28616.95,STOP_LOSS,atr_breakout,2019-07-12,849.39
2019-07-25,US.CDNS,BUY,7,10645.6,,SIGNAL,atr_breakout,,
2019-07-31,US.LIN,SELL,22,23835.03374896,-716.27,ATR_TRAIL,atr_breakout,2019-06-04,1048.93
2019-07-31,US.AAPL,BUY,43,7134.34928542,,SIGNAL,atr_breakout,,
2019-08-01,US.TSM,SELL,70,4948.03916999,-18575.98,STOP_LOSS,atr_breakout,2019-07-19,710.96
2019-08-02,US.CDNS,SELL,7,9977.8,-4744.44,STOP_LOSS,atr_breakout,2019-07-25,144.36
2019-08-02,US.AAPL,SELL,43,6777.631821149,-15630.29,STOP_LOSS,atr_breakout,2019-07-31,598.22
2019-08-05,US.CPRT,SELL,222,2569.0,130509.58,ATR_TRAIL,atr_breakout,2019-02-21,1009.56
2019-08-05,US.MDLZ,SELL,12,6118.9438611,-3938.02,STOP_LOSS,atr_breakout,2019-06-14,150.72
2019-08-05,US.COST,SELL,11,33688.560846219996,-20415.97,STOP_LOSS,atr_breakout,2019-07-12,761.19
2019-08-06,US.MNST,BUY,11,4212.6,,SIGNAL,boll_mr,,
2019-08-06,US.CDNS,BUY,5,9681.0,,SIGNAL,boll_mr,,
2019-08-06,US.HON,BUY,2,19958.960256899998,,SIGNAL,boll_mr,,
2019-08-08,US.MNST,SELL,11,4001.9700000000003,-2360.95,STOP_LOSS,boll_mr,2019-08-06,90.36
2019-08-08,US.MELI,BUY,5,96334.0,,SIGNAL,atr_breakout,,
2019-08-08,US.VRTX,BUY,4,25611.6,,SIGNAL,atr_breakout,,
2019-08-08,US.VRSK,BUY,5,20863.002745619997,,SIGNAL,atr_breakout,,
2019-08-09,US.AMGN,BUY,21,22208.22688462,,SIGNAL,atr_breakout,,
2019-08-12,US.MELI,SELL,5,87311.0,-45551.56,STOP_LOSS,atr_breakout,2019-08-08,918.23
2019-08-13,US.PDD,BUY,32,3329.2000000000003,,SIGNAL,atr_breakout,,
2019-08-23,US.HON,SELL,2,18961.012244054997,-2033.82,STOP_LOSS,boll_mr,2019-08-06,77.84
2019-08-26,US.PEP,BUY,7,15084.26306758,,SIGNAL,atr_breakout,,
2019-08-28,US.VRTX,SELL,4,24331.019999999997,-5219.64,STOP_LOSS,atr_breakout,2019-08-08,199.77
2019-08-28,US.COST,BUY,2,37423.40355936,,SIGNAL,atr_breakout,,
2019-08-29,US.CDNS,SELL,5,9662.8,-139.31,STRAT_EXIT,boll_mr,2019-08-06,96.72
2019-08-29,US.KLAC,BUY,185,1891.40564228,,SIGNAL,atr_breakout,,
2019-09-09,US.TTD,SELL,86,2991.38,-22687.78,STOP_LOSS,atr_breakout,2019-06-05,536.95
2019-09-09,US.VRSK,SELL,5,21401.37696004,2584.86,STRAT_EXIT,atr_breakout,2019-08-08,211.32
2019-09-09,US.PCAR,BUY,91,5105.720276999999,,SIGNAL,atr_breakout,,
2019-09-09,US.KB,BUY,101,4151.65645608,,SIGNAL,atr_breakout,,
2019-09-16,US.PEP,SELL,7,15317.97009456,1528.72,STRAT_EXIT,atr_breakout,2019-08-26,212.82
2019-09-16,US.FANG,BUY,34,11423.806528820001,,SIGNAL,atr_breakout,,
2019-09-18,US.FANG,SELL,34,10682.69608462,-25560.97,STOP_LOSS,atr_breakout,2019-09-16,751.62
2019-09-18,US.AMAT,BUY,12,6849.9494406,,SIGNAL,atr_breakout,,
2019-09-25,US.SBUX,SELL,17,10747.712847626171,50425.61,ATR_TRAIL,atr_breakout,2019-01-22,314.81
2019-09-25,US.LRCX,BUY,28,3114.9551645799997,,SIGNAL,atr_breakout,,
2019-09-27,US.AMAT,SELL,12,6500.153596720001,-4275.55,STOP_LOSS,atr_breakout,2019-09-18,160.2
2019-09-27,US.LRCX,SELL,28,2959.2074063509995,-4443.8,STOP_LOSS,atr_breakout,2019-09-25,170.08
