date,code,side,qty,price,pnl,reason,strategy,trend_score,fundamental_score,news_score,weather_score,total_score,score_label,replacement_from,replacement_score_delta
2021-05-27,US.GE,BUY,80,69.70324746,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-05-27,US.HWM,BUY,127,34.964965224,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-06-03,US.EQIX,BUY,8,704.280450826,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-06-03,US.CIEN,BUY,87,58.38,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-06-04,US.INTU,BUY,11,446.819931567,,SIGNAL,atr_breakout,94.42770590275154,,,100.0,96.29,FULL,,
2021-06-09,US.IONQ,BUY,642,10.6,,SIGNAL,atr_breakout,62.03055070464802,,,100.0,74.69,PARTIAL,,
2021-06-14,US.ADBE,BUY,15,556.95,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-06-22,US.CTAS,BUY,107,89.370981472,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-07-15,US.HON,BUY,46,215.938236072,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-07-20,US.QUBT,BUY,782,9.1,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-07-20,US.CPRT,BUY,256,35.8625,,SIGNAL,atr_breakout,87.88511610221084,,,100.0,91.92,FULL,,
2021-07-30,US.KLAC,BUY,300,33.095021096,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-08-10,US.ADP,BUY,50,194.193897811,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-08-12,US.PLTR,BUY,390,24.89,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-09-01,US.EQIX,BUY,12,790.240552741,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-09-01,US.NFLX,BUY,163,58.207,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-09-09,US.RKLB,BUY,342,20.72,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-09-10,US.CCJ,BUY,386,24.129228442,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-09-14,US.STM,BUY,209,44.632797418,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-09-17,US.FANG,BUY,30,67.594626581,,SIGNAL,atr_breakout,18.19382618331194,,,100.0,45.46,OBSERVATION,,
2021-09-22,US.ORLY,BUY,241,41.350666873,,SIGNAL,atr_breakout,96.22732353480814,,,100.0,97.48,FULL,,
2021-09-28,US.ONDS,BUY,809,9.62,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-09-29,US.IDXX,BUY,1,629.55,,SIGNAL,boll_mr,19.501326764542153,,,100.0,46.33,OBSERVATION,,
2021-10-01,US.FANG,BUY,35,80.881200482,,SIGNAL,atr_breakout,29.695799176955806,,,100.0,53.13,OBSERVATION,,
2021-10-01,US.PAYX,BUY,27,99.626339588,,SIGNAL,atr_breakout,24.381320340351945,,,100.0,49.59,OBSERVATION,,
2021-10-05,US.NFLX,BUY,156,63.480999999,,SIGNAL,atr_breakout,48.317463903016495,,,100.0,65.54,PARTIAL,,
2021-10-05,US.TTWO,BUY,15,162.02,,SIGNAL,atr_breakout,25.507686722450035,,,100.0,50.34,OBSERVATION,,
2021-10-05,US.RTX,BUY,30,79.951082614,,SIGNAL,atr_breakout,15.80639434322197,,,100.0,43.87,OBSERVATION,,
2021-10-06,US.RGTI,BUY,1014,9.86,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-10-21,US.ORLY,BUY,226,44.216666887,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-10-27,US.GOOG,BUY,68,145.147767578,,SIGNAL,atr_breakout,71.45425785098003,,,100.0,80.97,FULL,,
2021-10-28,US.STM,BUY,215,46.503076539,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-11-01,US.ON,BUY,181,54.99,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-11-24,US.COST,BUY,18,522.636462946,,SIGNAL,atr_breakout,44.76922898564877,,,100.0,63.18,PARTIAL,,
2021-12-02,US.TSEM,BUY,80,37.57,,SIGNAL,atr_breakout,14.639806249705165,,,100.0,43.09,OBSERVATION,,
2021-12-03,US.MRVL,BUY,121,82.149664304,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-12-16,US.GILD,BUY,155,61.473325482,,SIGNAL,atr_breakout,67.21428851612445,,,100.0,78.14,PARTIAL,,
2022-01-19,US.SLV,BUY,447,22.37,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2022-01-21,US.ADI,BUY,11,147.74805538,,SIGNAL,boll_mr,21.242259109120454,,,100.0,47.49,OBSERVATION,,
2022-01-21,US.MDLZ,BUY,68,60.553421917,,SIGNAL,atr_breakout,18.22789866043995,,,100.0,45.49,OBSERVATION,,
2022-01-25,US.LMT,BUY,29,343.612760174,,SIGNAL,atr_breakout,78.74323995098138,,,100.0,85.83,FULL,,
2022-01-25,US.SYM,BUY,183,9.81,,SIGNAL,boll_mr,11.175319655635695,,,100.0,40.78,OBSERVATION,,
2022-02-01,US.VRTX,BUY,18,245.66,,SIGNAL,atr_breakout,22.038628435048853,,,100.0,48.03,OBSERVATION,,
2022-02-01,US.QQQ,BUY,35,355.080798145,,QQQ_BETA_FLOOR,core_etf,,,,,,,,
2022-02-02,US.VRTX,BUY,39,253.57,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2022-02-02,US.EXC,BUY,274,36.475506509,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2022-02-03,US.TMUS,BUY,86,115.501183281,,SIGNAL,atr_breakout,65.87168636813917,,,100.0,77.25,PARTIAL,,
2022-02-04,US.TTWO,BUY,57,175.0,,SIGNAL,atr_breakout,41.117789210008546,,,100.0,60.75,PARTIAL,,
2022-02-08,US.AA,BUY,144,66.763375656,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2022-02-10,US.DDOG,BUY,43,174.6,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2022-02-11,US.BKR,BUY,378,26.444566085,,SIGNAL,atr_breakout,78.74489328855756,,,100.0,85.83,FULL,,
2022-02-15,US.TSEM,BUY,208,47.07,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2022-02-16,US.COHR,BUY,135,73.78,,SIGNAL,atr_breakout,65.49950164741904,,,100.0,77.0,PARTIAL,,
2022-02-22,US.SLV,BUY,144,22.31,,SIGNAL,atr_breakout,17.29240485848129,,,100.0,44.86,OBSERVATION,,
2022-02-23,US.GLD,BUY,19,178.29,,SIGNAL,atr_breakout,14.13256886378907,,,100.0,42.76,OBSERVATION,,
2022-02-25,US.PANW,BUY,105,94.95738318,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2022-02-25,US.LMT,BUY,27,363.421724729,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2022-02-25,US.RTX,BUY,111,89.435190098,,SIGNAL,atr_breakout,70.37632970771243,,,100.0,80.25,FULL,,
2022-02-25,US.PPA,BUY,138,72.092321549,,SIGNAL,atr_breakout,61.802103515721576,,,100.0,74.53,PARTIAL,,
